captured_at,api_time,temp_c,apparent_c,dew_point_c,humidity_pct,pressure_msl_hpa,surface_pressure_hpa,wind_kph,wind_dir_deg,gusts_kph,precip_mm,rain_mm,snowfall_cm,cloud_pct,uv_index,visibility_m,weather_code,is_day,sunrise,sunset,aqi,pm2_5,pm10
2026-07-15T00:00,2026-07-15T00:00,22.8,22.1,15.2,62,1020.9,1020.9,16.8,48,29.9,0.0,0.0,0.0,99,,,3,0,05:19,21:20,,,
2026-07-15T01:00,2026-07-15T01:00,21.5,20.8,15.6,69,1021.1,1021.1,18.1,59,30.2,0.0,0.0,0.0,88,,,3,0,05:19,21:20,,,
2026-07-15T02:00,2026-07-15T02:00,20.8,20.3,15.6,72,1021.3,1021.3,16.3,56,32.0,0.0,0.0,0.0,98,,,3,0,05:19,21:20,,,
2026-07-15T03:00,2026-07-15T03:00,20.3,19.7,15.2,73,1021.2,1021.2,16.2,46,29.5,0.0,0.0,0.0,91,,,3,0,05:19,21:20,,,
2026-07-15T04:00,2026-07-15T04:00,19.5,19.0,14.9,75,1021.2,1021.2,14.9,34,29.2,0.0,0.0,0.0,49,,,1,0,05:19,21:20,,,
2026-07-15T05:00,2026-07-15T05:00,18.7,18.4,14.6,77,1021.4,1021.4,12.6,29,27.0,0.0,0.0,0.0,52,,,2,0,05:19,21:20,,,
2026-07-15T06:00,2026-07-15T06:00,18.5,18.0,14.4,77,1021.8,1021.8,13.4,27,24.1,0.0,0.0,0.0,86,,,3,1,05:19,21:20,,,
2026-07-15T07:00,2026-07-15T07:00,19.3,18.7,14.7,75,1021.6,1021.6,14.5,36,25.2,0.0,0.0,0.0,33,,,1,1,05:19,21:20,,,
2026-07-15T08:00,2026-07-15T08:00,20.3,19.4,14.9,71,1021.7,1021.7,17.7,48,34.9,0.0,0.0,0.0,75,,,2,1,05:19,21:20,,,
2026-07-15T09:00,2026-07-15T09:00,21.5,20.7,15.1,67,1021.6,1021.6,17.5,53,35.6,0.0,0.0,0.0,97,,,3,1,05:19,21:20,,,
2026-07-15T10:00,2026-07-15T10:00,22.8,22.2,15.4,63,1021.7,1021.7,16.9,65,36.0,0.0,0.0,0.0,98,,,3,1,05:19,21:20,,,
2026-07-15T11:00,2026-07-15T11:00,23.7,23.3,15.6,60,1021.9,1021.9,16.2,78,35.3,0.0,0.0,0.0,99,,,3,1,05:19,21:20,,,
2026-07-15T12:00,2026-07-15T12:00,24.1,24.1,16.2,62,1021.8,1021.8,14.4,102,34.2,0.0,0.0,0.0,98,,,3,1,05:19,21:20,,,
