captured_at,api_time,temp_c,apparent_c,dew_point_c,humidity_pct,pressure_msl_hpa,surface_pressure_hpa,wind_kph,wind_dir_deg,gusts_kph,precip_mm,rain_mm,snowfall_cm,cloud_pct,uv_index,visibility_m,weather_code,is_day,sunrise,sunset,aqi,pm2_5,pm10
2026-08-13T22:00:51,2026-08-13T22:00,26.8,25.5,9.6,34,1019.0,1016.0,7.9,228,15.8,0.0,0.0,0.0,0,0.0,25620.0,0,0,05:44,20:28,35,9.5,15.4
2026-08-13T22:15:31,2026-08-13T22:15,26.4,25.2,9.7,35,1019.0,1016.0,7.9,223,15.5,0.0,0.0,0.0,0,0.0,25620.0,0,0,05:44,20:28,35,9.5,15.4
2026-08-13T22:30:39,2026-08-13T22:30,26.6,25.1,9.0,33,1018.9,1015.9,8.6,223,16.9,0.0,0.0,0.0,0,0.0,27520.0,0,0,05:44,20:28,35,9.5,15.4
2026-08-13T22:45:28,2026-08-13T22:45,26.3,24.8,8.8,33,1018.8,1015.8,8.6,217,16.9,0.0,0.0,0.0,0,0.0,27520.0,0,0,05:44,20:28,35,9.5,15.4
2026-08-13T23:00:52,2026-08-13T23:00,26.0,24.5,9.0,34,1018.8,1015.8,8.6,210,16.9,0.0,0.0,0.0,0,0.0,25600.0,0,0,05:44,20:28,33,10.4,16.4
2026-08-13T23:15:31,2026-08-13T23:15,25.7,24.2,9.1,35,1018.8,1015.8,8.3,213,16.6,0.0,0.0,0.0,0,0.0,25600.0,0,0,05:44,20:28,33,10.4,16.4
2026-08-13T23:30:48,2026-08-13T23:30,25.5,23.9,8.5,34,1018.6,1015.6,7.9,218,16.2,0.0,0.0,0.0,0,0.0,26580.0,0,0,05:44,20:28,33,10.4,16.4
2026-08-13T23:45:31,2026-08-13T23:45,25.2,23.9,9.1,36,1018.6,1015.6,7.6,220,15.8,0.0,0.0,0.0,0,0.0,26580.0,0,0,05:44,20:28,33,10.4,16.4
2026-08-14T00:00:50,2026-08-14T00:00,25.0,23.7,9.3,37,1018.6,1015.6,7.6,222,15.5,0.0,0.0,0.0,0,0.0,23600.0,0,0,05:46,20:26,31,11.3,17.0
2026-08-14T00:15:28,2026-08-14T00:15,24.7,23.5,9.5,38,1018.6,1015.6,7.6,228,15.1,0.0,0.0,0.0,23,0.0,23600.0,1,0,05:46,20:26,31,11.3,17.0
2026-08-14T00:30:40,2026-08-14T00:30,24.4,23.3,9.6,39,1018.7,1015.7,7.2,235,14.4,0.0,0.0,0.0,56,0.0,24240.0,2,0,05:46,20:26,31,11.3,17.0
2026-08-14T00:45:32,2026-08-14T00:45,24.3,23.2,9.8,40,1018.7,1015.7,7.2,238,14.0,0.0,0.0,0.0,87,0.0,24240.0,3,0,05:46,20:26,31,11.3,17.0
2026-08-14T01:00:51,2026-08-14T01:00,24.1,23.2,10.4,42,1018.7,1015.7,7.2,240,14.0,0.0,0.0,0.0,100,0.0,22840.0,3,0,05:46,20:26,30,11.7,18.0
2026-08-14T01:15:29,2026-08-14T01:15,23.8,23.2,11.2,45,1018.7,1015.7,7.2,243,14.0,0.0,0.0,0.0,87,0.0,22840.0,3,0,05:46,20:26,30,11.7,18.0
2026-08-14T01:30:42,2026-08-14T01:30,23.5,23.0,11.9,48,1018.6,1015.6,7.2,245,14.0,0.0,0.0,0.0,56,0.0,22840.0,2,0,05:46,20:26,30,11.7,18.0
2026-08-14T01:45:29,2026-08-14T01:45,23.1,22.9,12.5,51,1018.7,1015.7,7.2,241,14.4,0.0,0.0,0.0,23,0.0,24760.0,1,0,05:46,20:26,30,11.7,18.0
2026-08-14T02:00:51,2026-08-14T02:00,22.9,22.8,12.9,53,1018.6,1015.5,7.2,244,14.4,0.0,0.0,0.0,0,0.0,23960.0,0,0,05:46,20:26,26,12.1,19.6
2026-08-14T02:30:44,2026-08-14T02:30,22.1,22.0,13.0,56,1018.3,1015.2,7.2,253,15.1,0.0,0.0,0.0,0,0.0,25060.0,0,0,05:46,20:26,26,12.1,19.6
